split,row_id,change_type,original_value,new_value
train,ID_TR_Eng_Uga_39CBC41A,REMOVED_DUPLICATE,What is HIV and TB co-infection?,
train,ID_TR_Eng_Uga_F24E7FD6,REMOVED_DUPLICATE,"After engaging in oral sex and brushing my teeth, is there a risk of contracting HIV/STI?",
train,ID_TR_Eng_Uga_2E408D57,REMOVED_DUPLICATE,Is there someone to blame if I'm born to parents with HIV?,
train,ID_TR_Eng_Uga_B695C2BF,REMOVED_DUPLICATE,Why do I have to deal with hormonal changes on top of everything else during puberty?,
train,ID_TR_Eng_Uga_914BA9BB,REMOVED_DUPLICATE,Is there a limit to the number of times someone can contract HIV?,
train,ID_TR_Eng_Uga_A2B8FDCC,REMOVED_DUPLICATE,Should I consider getting tested for HIV now that I'm pregnant?,
train,ID_TR_Eng_Uga_AD5209E7,REMOVED_DUPLICATE,Can you get HIV if you engage with someone with HIV using a condom?,
train,ID_TR_Eng_Uga_72DADC21,REMOVED_DUPLICATE,Could you list any signs of pregnancy?,
train,ID_TR_Eng_Uga_2CC09F87,REMOVED_DUPLICATE,What qualifications should one meet in order to be an HIV or STI counselor?,
train,ID_TR_Eng_Uga_1E2C6D4B,REMOVED_DUPLICATE,Can one give birth to a positive child if she is HIV positive?,
train,ID_TR_Eng_Uga_1FB426C0,REMOVED_DUPLICATE,Does viral load have an effect in the spread of HIV?,
train,ID_TR_Eng_Uga_6500F793,REMOVED_DUPLICATE,How long does the window period of HIV last?,
train,ID_TR_Eng_Uga_6BCCE72A,REMOVED_DUPLICATE,Can I still have unprotected sex while on PEP?,
train,ID_TR_Eng_Uga_1A6275F5,REMOVED_DUPLICATE,Is testing my child required if I took treatment during pregnancy?,
train,ID_TR_Eng_Uga_21DE2360,REMOVED_DUPLICATE,Will I get any benefits from telling someone my HIV status?,
train,ID_TR_Eng_Uga_17478B5C,REMOVED_DUPLICATE,Is it necessary to test for HIV if I am in a relationship?,
train,ID_TR_Eng_Uga_9A11DDF4,REMOVED_DUPLICATE,What are the reasons for testing for HIV during pregnancy?,
train,ID_TR_Eng_Uga_796512E3,REMOVED_DUPLICATE,"Between the female and male condoms, which one is more effective in preventing HIV infection?",
train,ID_TR_Eng_Uga_C2651976,REMOVED_DUPLICATE,Can I get cured of HIV/AIDS if I use ARVs for a long period of time?,
train,ID_TR_Eng_Uga_80FD963D,REMOVED_DUPLICATE,Does the use of condoms guarantee 100% prevention of HIV infection?,
train,ID_TR_Eng_Uga_F8F40E49,REMOVED_DUPLICATE,Will I contract HIV if I sleep with someone who has the virus?,
train,ID_TR_Eng_Uga_4242FC5C,REMOVED_DUPLICATE,What measures are taken to manage HIV/AIDS?,
train,ID_TR_Eng_Uga_FAE2D4A8,REMOVED_DUPLICATE,How is HIV transmitted from mother to child during breastfeeding?,
train,ID_TR_Eng_Uga_27D81EA0,REMOVED_DUPLICATE,How can I make someone understand that getting tested for HIV is important?,
train,ID_TR_Eng_Uga_03748864,REMOVED_DUPLICATE,How does social marketing of condoms reduce HIV?,
train,ID_TR_Eng_Uga_F7636B4D,REMOVED_DUPLICATE,How can one prevent HIV without involving or disclosing to parents?,
